,ADDRTYPE,SDOT_COLCODE,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,YEAR
16387,Intersection,11,Clear,Dry,Daylight,,2005
16388,Intersection,11,Clear,Dry,Daylight,,2005
16394,Block,11,Clear,Unknown,Dark - Street Lights On,,2005
16395,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16396,Intersection,11,Clear,Dry,Daylight,,2005
16397,Intersection,11,Clear,Dry,Daylight,,2005
16404,Intersection,11,Overcast,Dry,Daylight,,2005
16406,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16407,Intersection,11,Clear,Dry,Daylight,,2005
16415,Intersection,11,Clear,Dry,Daylight,,2005
16417,Intersection,11,Clear,Dry,Daylight,,2005
16418,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16422,Intersection,11,Clear,Wet,Daylight,,2005
16424,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16427,Intersection,11,Clear,Dry,Daylight,,2005
16428,Intersection,11,Clear,Dry,Daylight,,2005
16429,Intersection,11,Clear,Dry,Daylight,,2005
16432,Intersection,11,Clear,Dry,Daylight,,2005
16441,Intersection,11,Clear,Dry,Daylight,,2005
16445,Intersection,11,Raining,Wet,Daylight,,2005
16451,Intersection,11,Clear,Dry,Daylight,,2005
16459,Intersection,11,Clear,Dry,Daylight,,2005
16467,Intersection,11,Clear,Wet,Dark - Street Lights On,,2005
16473,Intersection,11,Overcast,Dry,Daylight,,2005
16481,Block,11,Clear,Dry,Daylight,,2005
16508,Block,11,Clear,Dry,Daylight,,2005
16510,Intersection,14,Unknown,Unknown,Daylight,,2005
16522,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16525,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16531,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16533,Intersection,11,Clear,Dry,Daylight,,2005
16538,Intersection,11,Clear,Dry,Daylight,,2005
16540,Intersection,11,Overcast,Wet,Daylight,,2005
16541,Intersection,11,Clear,Dry,Unknown,,2005
16543,Block,16,Clear,Dry,Daylight,,2005
16544,Intersection,11,Raining,Wet,Daylight,,2005
16546,Intersection,11,Overcast,Dry,Daylight,,2005
16549,Intersection,11,Clear,Dry,Daylight,,2005
16552,Intersection,14,Raining,Wet,Dark - Street Lights On,,2005
16554,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16556,Intersection,11,Overcast,Wet,Daylight,,2005
16569,Intersection,11,Clear,Dry,Daylight,,2005
16573,Intersection,14,Clear,Dry,Daylight,,2005
16586,Intersection,11,Clear,Dry,Daylight,,2005
16602,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16603,Intersection,11,Clear,Dry,Daylight,,2005
16607,Intersection,11,Clear,Wet,Daylight,,2005
16616,Intersection,11,Clear,Dry,Daylight,,2005
16619,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
16622,Intersection,11,Clear,Dry,Daylight,,2005
16630,Intersection,11,Overcast,Dry,Daylight,Y,2005
16632,Intersection,11,Clear,Dry,Daylight,,2005
16636,Intersection,11,Raining,Wet,Daylight,,2005
16638,Intersection,11,Overcast,Dry,Daylight,,2005
16648,Intersection,11,Overcast,Dry,Daylight,,2005
16659,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16660,Intersection,11,Overcast,Dry,Dark - Street Lights On,,2005
16664,Intersection,11,Clear,Dry,Dusk,,2005
16671,Intersection,11,Clear,Dry,Dark - No Street Lights,,2005
16673,Intersection,11,Clear,Dry,Daylight,,2005
16680,Intersection,11,Raining,Wet,Daylight,,2005
16685,Intersection,11,Clear,Dry,Daylight,,2005
16690,Intersection,11,Clear,Dry,Daylight,,2005
16698,Intersection,11,Clear,Dry,Daylight,,2005
16720,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
16722,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
16736,Intersection,11,Overcast,Wet,Daylight,,2005
16739,Block,11,Clear,Wet,Dusk,,2005
16748,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
16749,Intersection,11,Raining,Wet,Daylight,,2005
16753,Intersection,11,Clear,Dry,Daylight,,2005
16761,Intersection,11,Unknown,Wet,Dark - Street Lights On,,2005
16763,Intersection,11,Clear,Dry,Daylight,,2005
16764,Intersection,14,Raining,Wet,Dark - Street Lights On,,2005
16767,Intersection,11,Clear,Dry,Daylight,,2005
16771,Intersection,11,Clear,Dry,Daylight,,2005
16779,Intersection,11,Clear,Dry,Dusk,,2005
16783,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
